2021-05-25	Hold Alembic Pharma: target of Rs 1055: ICICI Direct. Panacea Biotec share price hits 5% upper circuit on launch of Sputnik V production. Healthy monsoon to put economy back on track, these 10 stocks likely to grow significantly. Reduce Supreme Industries; target of Rs 2238: Dolat Capital Market. Accumulate Tata Consultancy Services; target of Rs 3370: Dolat Capital Market. Accumulate Asian Paints; target of Rs 2781: Dolat Capital Market. Accumulate SRF; target of Rs 7179: Dolat Capital Market. Accumulate CEAT; target of Rs 1456: Dolat Capital Market. Accumulate Kotak Mahindra Bank; target of Rs 1900: Dolat Capital Market. Accumulate IndusInd Bank; target of Rs 1060: Dolat Capital Market. Buy Cipla; target of Rs 940: Dolat Capital Market. Buy Siemens; target of Rs 2300: Dolat Capital Market. Buy RBL Bank; target of Rs 270: Dolat Capital Market. D-Street Buzz: Over 300 BSE stocks hit new 52-week high; Asian Paints, Colgate, Concor up 2-4% each. AurionPro Solutions forays into Egyptian market; share price locked at 10% circuit. Gold Price Today: Yellow metal trades lower; buy for a target of Rs 48,700: Experts. Singapore govt's Indian equity portfolio: 5 stocks gain over 50% in less than 5 months. Route Mobile: Brokerages can't get enough of this cloud communication services provider, here's why. How to play the commodity theme? Experts pick 14 stocks for your portfolio. Amara Raja Batteries stock slides 4% on Clarios stake sale; brokerages see no investment in lithium-ion tech as threat. Zensar – A high risk bet for the patient investor. Agri Picks Report: Geojit. Buy USDINR; target of: 72.90 -72.95 : ICICI Direct. Brokerages raise target on CONCOR post LLF clarity; share price surges over 80% in a year. Buzzing Stocks: Grasim, Bajaj Electricals, MGL and others that will be in focus today. Trade Spotlight: What should investors do with Birlasoft, Century Ply & Natco Pharma?. Hot Stocks | RPSG Ventures, JMC Projects, Blue Dart Express can give up to 20% return in short term
2021-05-24	Sebi bans 3 individuals for 6 months in front running case. Ideas For Profit | SBI: Stellar asset quality at FY21 end; Can the stock rally more?. Indian customers can now invest in five new global markets: ICICI Direct. Gainers & Losers: 10 stocks that moved most on May 24. Buy Ajanta Pharma; target of Rs 2205: Dolat Capital Market. After The Bell: Sensex rallies 111 points, what should investors do on Tuesday?. FIIs shift money from software, banking and insurance to these 4 sectors in first half of May. Record trading volumes from retail investors helping small & midcaps outperform, says Keval Bhanushali of Marwadi Shares and Finance. Birlasoft share price hits 52-week high; Anand Rathi expects more upside. JSW Steel stock price falls despite manifold jump in Q4 PAT. Dhanuka Agritech: Still offers margin of safety. Butterfly Gandhimathi shares surge 19% to hit all-time high; ICICI Direct raises target price. How much more can SBI stock rally on the back of stellar asset quality in FY21?. Benchmarks eye record highs: 10 technical recommendations by experts for next 3-4 weeks. Natco Pharma share price hits 52- week high on DCGI nod for production of 'Black Fungus' drug. Agri Picks Report: Geojit. Buy USDINR; target of: 73.00 - 73.15 : ICICI Direct. What should investors do with SBI post Q4: buy, sell or hold?. Buzzing Stocks: Shree Cement, JSW Steel, United Spirits and others that will be in focus today. Market cap of BSE-listed firms hit $3 trillion mark; small & mid-caps lead the charge. DAILY VOICE | Indian market a tad expensive than its peers, China still cheaper: Nitin Sharma of Fidelity International. Hot Stocks: Piramal Enterprises, Jamna Auto top stocks to buy in the short-term
2021-05-23	Movers & Shakers | Top 10 stocks that moved the most last week. F&O Expiry week outlook | Nifty may end May series between 15,100-15,400 levels: Aditya Agarwala of Yes Securities. Short-term investors can book profits in banking, financials space - here is why. Quick Service Restaurants show strong appetite for growth as COVID-19 wave subsides. Axis Bank, SBI, & BPCL may rally over 10% each in next 3-4 weeks - here’s why: Ashish Chaturmohta
2021-05-22	Godrej Industries Q4 net loss at Rs 92 crore. Shoppers Stop Q4 net loss at Rs 24.10 crore. Over 60 stocks in BSE500 index rise 10-40% in a week, Sensex back above 50K. Good time for investors to look at gold from a portfolio allocation standpoint: Nirali Shah of Samco Securities. AI, machine learning help investors gain ‘edge’ while investing
2021-05-21	Ideas For Profit | Mas Financial: Valuation down to IPO level, time to add?. After The Bell: Sensex zooms 975 points, what should investors do on Monday?. Gainers & Losers: 10 stocks that moved most on May 21. Buy Dalmia Bharat target of Rs 2140: Prabhudas Lilladher. Buy IndusInd Bank target of Rs 1195: Prabhudas Lilladher. Buy Persistent Systems target of Rs 2344: Prabhudas Lilladher. Top 10 stocks where institutional investors, promoters raised stake in Q4 rallied up to 1,300% in one year. Coromandel International and Chambal Fertilisers top stocks to play fertiliser subsidy theme. Buy Inox Leisure target of Rs 368: Prabhudas Lilladher. Buy Ambuja Cement target of Rs 375: Prabhudas Lilladher. Buy Exide Industries target of Rs 227: Prabhudas Lilladher. Buy TVS Motors target of Rs 658: Prabhudas Lilladher. Buy Maruti Suzuki target of Rs 7619: Prabhudas Lilladher. Buy HCL Technologies target of Rs 1010: Prabhudas Lilladher. Agri Picks Report: Geojit. Bitcoin Crashed – China News or Hurst’s Time Cycles Working?. Bank & financial stocks rally led by IndusInd Bank, HDFC twins; SBI most active ahead of results. ICICI Direct picks Ashok Leyland, Minda Industries to play cyclical uptrend. Garware Hi-Tech Films share price rises 8% after Ashish Kacholia raises stake. SBI Cards – A quintessential consumption play that stands to gain from peaking of second wave. Mutual funds bought stakes in these IPOs in the March quarter. What’s the takeaway for you?. Havells India share price down 3% despite YoY rise in net profit; global brokerage retains sell. SBI share price rises ahead of March quarter results. What should investors do with Zee Entertainment post Q4 results: buy, sell or hold?. What should investors do with HPCL: buy, sell or hold post Q4?. Weekly Tactical Pick | Dollar Industries. Mas Financial – Time to add a good business in a soft patch?. Sell USDINR; target of: 73.05 - 73.00 : ICICI Direct. 8 factors why retail participation increased during COVID. Ashish Kacholia raises stake in Garware Hi-Tech Films, Dalmia Power offloads 4.47% in IEX. Buzzing Stocks: SBI, HPCL, Havells India and others that will be in focus today. Trade Spotlight: What should investors do with HFCL, JustDial & Ruchi Soya?. DAILY VOICE | India not expensive relative to other emerging markets: Jyotivardhan Jaipuria of Valentis. Hot Stocks: India Cements, Phillips Carbon and Bharat Electronics top buys for short term; here’s why
2021-05-20	Ideas for profit | Aarti Industries: Buy with investment horizon of 3-5 years. Buy Tech Mahindra target of Rs 1132: Prabhudas Lilladher. Buy Mphasis target of Rs 1869: Prabhudas Lilladher. Buy ICICI Bank target of Rs 700: Prabhudas Lilladher. Buy Bharti Airtel; target of Rs 720: Motilal Oswal. Gainers & Losers: 10 stocks that moved most on May 20. Buy Castrol (India); target of Rs 170: Motilal Oswal. Buy Maruti Suzuki; target of Rs 8450: Motilal Oswal. Buy Axis Bank; target of Rs 925: Motilal Oswal. Buy Gateway Distriparks; target of Rs 260: ICICI Direct. HPL Electric share price locked at upper circuit on Rs 372 crore orders. Buy Bajaj Finance; target of Rs 5900: ICICI Direct. M&M share price rises 3%; CLSA maintains buy but cuts target. These 13 smallcap stocks are at 30% discount to their 52-week high, but above 200-DMA. JK Tyre share price rises 3% on robust Q4 results; board recommends dividend. Cipla share price gains on launching polymerase chain reaction test kit. Shakti Pumps share price hits new 52-week high after Q4 profit jumps to Rs 23 crore. Rajesh Exports stock price gains after LIC acquires over 59.77 lakh equity shares. Small and midcap outperformance will continue, say experts. Here are 7 stock picks. PI Industries: Next catalyst is the pharma opportunity. Sell USDINR; target of: 73.10 - 73.00: ICICI Direct. What should investors do with IOC: buy, sell or hold post Q4?. Hot Stocks: Here's why Tata Coffee, Shakti Pumps and SPARC are top stocks to buy in short term?. Trade Spotlight: What should investors do with Relaxo Footwear, Praj Industries & Prince Pipes?. DAILY VOICE | Large companies better positioned to ride second COVID wave : IV Subramaniam of Quantum Advisors. Buzzing Stocks: Coforge, Zee Entertainment, JK Tyre and others that will be in focus today
2021-05-19	Ideas For Profit | Bharti Airtel: Subscriber addition, jump in data usage aid Q4. After The Bell: Nifty holds 15,000; what should investors do on Thursday?. D-Street Talk Podcast: Opportunity in small & midcaps in COVID times; here are 5 reasons: Harshad Patwardhan. Gainers & Losers: 10 stocks that moved most on May 19. Home First Finance — A worthy long-term bet available at reasonable valuation. Buy Tech Mahindra; target of Rs 1120: ICICI Direct. Buy HCL Technologies; target of Rs 1110: ICICI Direct. Buy Rallis India; target of Rs 350: ICICI Direct. D-Street Buzz: Realty stocks rise led by Brigade Enterprises, Oberoi Realty; Tata Motors drags auto index lower. Buy Ramkrishna Forgings; target of Rs 802: Khambatta Securities. Gland Pharma shares hit fresh record high; Motilal Oswal sets target at Rs 3,280. Prabhudas Lilladher is bullish on these 16 IT stocks; do you own any?. Mid & Smallcap indices hit all-time high ahead of Nifty. Will the trend continue?. Tata Motors: Near-term hiccups to dent performance; wait for better entry point. Brigade Enterprises share price rises 5% on robust Q4 FY21 results. Nifty back above 15,000. Where are the pockets of opportunities?. Anupam Rasayan share price rises 4% on orders worth Rs 540 crore. What should investors do with Torrent Pharma post Q4; buy, sell or hold?. Adani Green shares hit 5% upper circuit on acquisition of SB Energy's renewable portfolio. What should investors do with Tata Motors: buy, sell or hold post Q4?. Agri Picks Report: Geojit. Sell USDINR; target of: 73.10 - 73.00: ICICI Direct. Sensex could hit 61,000 by December in a bull case scenario: Morgan Stanley. Trade Spotlight: What should investors do with Hindustan Zinc, Birla Corp & MRPL?. DAILY VOICE | Smart money to move to large private banks, autos, construction, consumption: Dhananjay Sinha of JM Financial. Buzzing Stocks: Tata Motors, Axis Bank, Sun Pharma and others that will be in focus today. Hot Stocks: Trent, LIC Housing Finance and Berger Paints top stocks to buy for short term
2021-05-18	Explained | Copper shines bright: What’s driving the rally?. After The Bell: Auto top sectoral gainer, here’s what investors should do on Wednesday. Gainers & Losers: 10 stocks that moved most on May 18. Do you own these 14 stocks that were upgraded to 'buy' rating, post earnings, for up to 31% return?. Nifty, Sensex back to March levels; these 40 stocks beat market volatility to rise 30-114%. Agri Picks Report: Geojit. These 11 stocks were winners in H1 of last 3 fiscal years surging at least 15% each. Sell USDINR; target of: 73.30 - 73.10: ICICI Direct. Over 250 stocks hit new 52-week high on BSE; Bajaj Finance, Power Grid, Titan top gainers. Trade Spotlight: How should investors trade Birla Corp, Balkrishna Industries, Kaveri Seed Company?. Federal Bank – The cheapest for the quality it offers. Tata Motors share price gains 2% ahead of Q4 results, brokerages forecast 5-fold jump in EBITDA. What should investors do with Bharti Airtel post Q4 results: buy, sell or hold?. Hot Stocks: Here's why Ramco Industries, CARE & Time Technoplast are top bets for short term
2021-05-17	After The Bell: Benchmark indices start the week on a strong note, what should investors do on Tuesday?. Gainers & Losers: 10 stocks that moved most on May 17. Aditya Birla Capital: Growth Drivers Amid Covid Uncertainty. Steel prices continue to rise but domestic concerns may derail a global opportunity. Hester Biosciences share price surges 30% in two days as talks on to produce Covaxin. Agri Picks Report: Geojit. Sell USDINR; target of: 73.15 - 73.00: ICICI Direct. KRChoksey is bullish on these 10 IT stocks; sees up to 27% upside. Safari – Why the coming weak phase is the best time to add this stock. What should investors do with Dr Reddy's Labs post Q4 result: buy, sell or hold?. Bharti Airtel stock trades lower ahead of Q4 results; here's what brokerages expect. Larsen & Toubro sees COVID second wave as a blip, not a derailment. Shilpa Medicare share price jumps 13% on agreement with Dr Reddy's for production of Sputnik V vaccine. Nifty in wait-and-watch mode, 10 technical trading ideas for short term. Cipla share price down 3% after Q4 earnings misses expectations. What should investors do with L&T post Q4 result: buy, sell or hold?. DAILY VOICE | India's long-term structural story will bring back FIIs once COVID is contained: Mayuresh Joshi of William O’Neil India. Hot Stocks: Here's why ITC is the top buy of the week
2021-05-16	Movers & Shakers | Top 10 stocks that moved most last week. Short term investor may consider lightening position in pharma stocks if Nifty Pharma breaks 13,650. Bears likely to remain in control of Nifty as long as it trades below 14900: Sumeet Bagadia of Choice Broking
